Listing_Month,Sale_Price,Built_Renovated,Grade,Condition,Living_Area,Total_Basement,Finished_Basement,Bedrooms,Bathrooms,Zoning,Lot_size ,Per_Sqft_Price,Sale_Rank
Febuary,503000,1992,Good,Good,1730,0,0,3,2.5,R12P,6063,290.7514451,Quick_Sale
May,485000,1985,Good,Average,1580,0,0,3,2.5,R6P,6065,306.9620253,Quick_Sale
June,675000,2011,Better,Average,2620,0,0,4,2.5,R6,6114,257.6335878,Quick_Sale
June,820000,2010,Better,Average,2830,0,0,5,2.75,R6,6137,289.7526502,Quick_Sale
April,699850,2002,Better,Average,2690,0,0,4,3.5,R6,6164,260.1672862,Quick_Sale
May,536000,2005,Average,Average,1900,0,0,3,2.5,R6,6224,282.1052632,Quick_Sale
July,690000,2001,Good,Average,2780,0,0,4,2.5,R8,6235,248.2014388,Quick_Sale
July,650000,2001,Better,Average,2640,0,0,4,2.75,R6,6240,246.2121212,Quick_Sale
January,687500,2003,Good,Average,4140,0,0,5,3.5,R6,6270,166.0628019,Quick_Sale
August,599950,1988,Good,Good,2290,0,0,4,2.5,R6,6318,261.9868996,Quick_Sale
May,659000,1996,Better,Average,2510,0,0,3,2.5,R4,6320,262.5498008,Quick_Sale
May,530000,1988,Good,Average,2050,0,0,4,2.5,R6,6360,258.5365854,Quick_Sale
July,686000,1999,Very Good,Average,2760,0,0,4,2.5,R4,6440,248.5507246,Quick_Sale
March,716500,2002,Better,Average,3290,0,0,4,2.5,R6,6465,217.781155,Quick_Sale
Febuary,436000,1996,Good,Average,1680,0,0,3,2,R6P,6466,259.5238095,Quick_Sale
Febuary,506800,1987,Good,Average,1840,650,470,4,2.25,R6P,6488,275.4347826,Quick_Sale
May,672500,2000,Better,Average,2620,0,0,4,2.75,R6,6707,256.6793893,Quick_Sale
July,650000,2002,Good,Average,2790,0,0,3,2.5,R6,6720,232.9749104,Quick_Sale
May,570000,1996,Good,Average,2290,0,0,4,2.5,R6P,6738,248.9082969,Quick_Sale
July,599000,1989,Good,Average,2640,0,0,4,2.5,R6PSO,6738,226.8939394,Quick_Sale
Febuary,710000,2004,Good,Average,3100,0,0,4,2.5,R6,6758,229.0322581,Quick_Sale
May,601000,1992,Good,Good,2090,0,0,4,2.5,R6P,6906,287.5598086,Quick_Sale
Febuary,755000,2002,Better,Average,3080,0,0,4,2.5,SF-SL,6938,245.1298701,Quick_Sale
